,Brand,Price,Panel_Type,Display,Screen_Resolution,Brightness,Response_Time,Refresh_Rate
289,DELL,"₹2,763",OLED Panel,68.58 cm,Quad HD,,,360 Hz
290,Frontech,"₹9,769",VA Panel,50.8 cm,HD,250 nits,3 ms,60 Hz
291,ASUS,"₹28,369",IPS Panel,60.45 cm,Full HD,250 nits,5 ms,75 Hz
292,Samsung,"₹10,999",VA Panel,81.28 cm,Full HD,350 nits,1 ms,240 Hz
293,LG,"₹28,117",IPS Panel,68.58 cm,Full HD,250 nits,5 ms,75 Hz
294,MSI,"₹7,799",VA Panel,86.36 cm,UWQHD,,1 ms,100 Hz
295,Samsung,"₹18,990",IPS Panel,60.96 cm,Full HD,250 nits,5 ms,75 Hz
296,ViewSonic,"₹11,069",TN Panel,40.64 cm,Full HD,250 nits,12 ms,60 Hz
297,ASUS,"₹6,499",IPS Panel,60.45 cm,Full HD,250 nits,5 ms,75 Hz
298,ViewSonic,"₹29,349",IPS Panel,60.96 cm,Full HD,250 nits,1 ms,100 Hz
299,MSI,"₹30,900",IPS Panel,68.58 cm,4K Ultra HD,,4 ms,144 Hz
300,LG,"₹8,999",IPS Panel,68.58 cm,4K Ultra HD,350 nits,5 ms,60 Hz
301,DELL,"₹7,497",VA Panel,68.58 cm,Full HD,300 nits,5 ms,75 Hz
302,Acer,"₹6,570",IPS Panel,60.45 cm,Full HD,250 nits,1 ms,120 Hz
303,Frontech,"₹5,579",VA Panel,60.96 cm,Full HD,250 nits,5 ms,75 Hz
304,Intex,"₹13,999",VA Panel,54.61 cm,HD,,5 ms,60 Hz
305,Acer,"₹14,999",IPS Panel,60.45 cm,Full HD,,,165 Hz
306,HP,"₹2,799",,60.45 cm,Full HD,250 nits,5 ms,75 Hz
307,Enter,"₹10,499",VA Panel,48.26 cm,HD,,5 ms,60 Hz
308,Acer,"₹11,999",IPS Panel,68.58 cm,Full HD,250 nits,1 ms,200 Hz
309,Acer,"₹11,666",IPS Panel,68.58 cm,Full HD,250 nits,,200 Hz
310,Frontech,"₹9,299",IPS Panel,39.62 cm,Full HD,250 nits,20 ms,60 Hz
311,LG,"₹7,999",IPS Panel,68.58 cm,Full HD,250 nits,5 ms,100 Hz
312,Acer,"₹7,100",IPS Panel,62.23 cm,Full HD,250 nits,1 ms,144 Hz
313,Acer,"₹3,499",IPS Panel,54.61 cm,Full HD,250 nits,4 ms,75 Hz
314,ZEBSTER,"₹9,299",TN Panel,55.88 cm,HD,220 nits,8 ms,60 Hz
315,Acer,"₹2,763",TN Panel,54.61 cm,Full HD,250 nits,4 ms,60 Hz
316,Frontech,"₹2,606",VA Panel,50.8 cm,HD,250 nits,3 ms,60 Hz
317,Enter,"₹2,888",,48.26 cm,HD,,5 ms,60 Hz
318,ZEBSTER,"₹10,890",AHVA Panel,50.8 cm,HD,,,
319,ASUS,"₹8,999",IPS Panel,60.45 cm,Full HD,250 nits,1 ms,100 Hz
320,ZEBRONICS,"₹6,350",IPS Panel,39.62 cm,Full HD,250 nits,5 ms,60 Hz
321,Acer,"₹10,499",TN Panel,49.53 cm,HD,,6 ms,75 Hz
322,Acer,"₹18,761",IPS Panel,68.58 cm,Full HD,250 nits,1 ms,200 Hz
323,HP,"₹11,999",,68.58 cm,Full HD,300 nits,5 ms,75 Hz
324,Acer,"₹17,999",IPS Panel,68.58 cm,Full HD,250 nits,,200 Hz
325,Samsung,"₹18,999",IPS Panel,68.58 cm,Quad HD,,5 ms,100 Hz
326,Lenovo,"₹32,499",IPS Panel,60.45 cm,Quad HD,,4 ms,60 Hz
327,ASUS,"₹8,899",TN Panel,71.12 cm,4K Ultra HD,330 nits,1 ms,60 Hz
328,Acer,"₹11,599",IPS Panel,68.58 cm,Full HD,250 nits,1 ms,120 Hz
329,DELL,"₹20,999",TN Panel,55.88 cm,Full HD,250 nits,5 ms,60 Hz
330,DELL,"₹6,999",IPS Panel,60.96 cm,WUXGA,,5 ms,100 Hz
331,Frontech,"₹39,799",IPS Panel,62.23 cm,Full HD,250 nits,8 ms,100 Hz
332,Samsung,"₹6,499",IPS Panel,60.96 cm,4K Ultra HD,350 nits,5 ms,60 Hz
333,DAHUA,"₹7,399",IPS Panel,60.45 cm,Full HD,200 nits,,75 Hz
334,Lenovo,"₹14,999",VA Panel,54.48 cm,Full HD,250 nits,4 ms,75 Hz
335,DELL,"₹2,763",IPS Panel,68.58 cm,Full HD,300 nits,8 ms,60 Hz
336,Frontech,"₹21,349",VA Panel,50.8 cm,HD,250 nits,3 ms,60 Hz
337,ASUS,"₹9,699",IPS Panel,68.58 cm,Full HD,400 nits,1 ms,280 Hz
338,Samsung,"₹6,761",IPS Panel,55.88 cm,Full HD,,5 ms,60 Hz
339,MSI,"₹10,718",VA Panel,55.88 cm,Full HD,,1 ms,60 Hz
340,ASUS,"₹17,499",VA Panel,60.45 cm,Full HD,350 nits,1 ms,165 Hz
341,Acer,"₹11,249",IPS Panel,54.61 cm,Full HD,250 nits,4 ms,75 Hz
342,Samsung,"₹6,299",VA Panel,60.96 cm,Full HD,2502 nits,1 ms,144 Hz
343,Samsung,"₹15,999",VA Panel,55.88 cm,Full HD,,,60 Hz
344,Samsung,"₹8,379",IPS Panel,68.58 cm,Full HD,250 nits,5 ms,60 Hz
345,Acer,"₹10,996",IPS Panel,68.58 cm,Full HD,250 nits,,165 Hz
346,MSI,"₹12,499",IPS Panel,68.58 cm,Full HD,,4 ms,100 Hz
347,Lenovo,"₹22,701",IPS Panel,68.58 cm,Full HD,300 nits,6 ms,100 Hz
348,BenQ,"₹11,350",TN Panel,70.87 cm,4K Ultra HD,300 nits,1 ms,60 Hz
349,Samsung,"₹24,738",VA Panel,56.13 cm,Full HD,250 nits,5 ms,60 Hz
350,ASUS,"₹15,999",IPS Panel,60.96 cm,Full HD,,5 ms,75 Hz
351,Samsung,"₹9,189",IPS Panel,68.58 cm,Full HD,250 nits,5 ms,100 Hz
352,BenQ,"₹12,309",IPS Panel,68.58 cm,Full HD,,5 ms,60 Hz
353,Lenovo,"₹43,884",TN Panel,62.23 cm,Full HD,,1 ms,144 Hz
354,ViewSonic,"₹15,490",VA Panel,68.58 cm,Full HD,250 nits,12 ms,60 Hz
355,ViewSonic,"₹26,989",IPS Panel,68.58 cm,Full HD,250 nits,4 ms,60 Hz
356,BenQ,"₹8,151",IPS Panel,61.21 cm,WUXGA,,5 ms,60 Hz
357,FINGERS,"₹58,990",VA Panel,60.45 cm,Full HD,250 nits,20 ms,100 Hz
358,EIZO,"₹18,999",IPS Panel,61.21 cm,WUXGA,,,60 Hz
359,MSI,"₹2,763",IPS Panel,68.58 cm,WQHD,250 nits,4 ms,75 Hz
360,Frontech,"₹2,916",VA Panel,50.8 cm,HD,250 nits,3 ms,60 Hz
361,zebion,"₹1,10,999",TN Panel,50.8 cm,HD,,5 ms,60 Hz
362,LIMEBERRY,"₹49,990",IPS Panel,165.1 cm,4K Ultra HD,450 nits,5 ms,200 Hz
363,EIZO,"₹15,299",IPS Panel,61.21 cm,WUXGA,350 nits,5 ms,60 Hz
364,DELL,"₹15,499",TN Panel,60.96 cm,Full HD,350 nits,1 ms,144 Hz
365,HP,"₹9,999",IPS Panel,68.58 cm,Full HD,300 nits,5 ms,100 Hz
366,Acer,"₹8,499",IPS Panel,68.58 cm,Full HD,250 nits,1 ms,120 Hz
367,AOC,"₹15,949",IPS Panel,60.96 cm,Full HD,,,180 Hz
368,LG,"₹21,389",IPS Panel,68.58 cm,Quad HD,250 nits,5 ms,100 Hz
369,ASUS,"₹30,499",TN Panel,68.58 cm,Full HD,400 nits,,165 Hz
370,GIGABYTE,"₹15,002",IPS Panel,68.58 cm,Quad HD,350 nits,,170 Hz
371,MSI,"₹30,999",IPS Panel,39.62 cm,Full HD,250 nits,4 ms,60 Hz
372,Samsung,"₹8,699",VA Panel,81.28 cm,4K Ultra HD,300 nits,4 ms,60 Hz
373,Samsung,"₹6,299",VA Panel,55.88 cm,Full HD,250 nits,,60 Hz
374,FINGERS,"₹81,989",VA Panel,54.48 cm,Full HD,250 nits,20 ms,100 Hz
375,EIZO,"₹94,990",IPS Panel,71.12 cm,Quad HD,350 nits,5 ms,60 Hz
376,ASIATOUCH,"₹17,390",IPS Panel,165.1 cm,4K Ultra HD,,8 ms,60 Hz
377,Samsung,"₹8,834",VA Panel,60.96 cm,Full HD,250 nits,4 ms,144 Hz
378,Samsung,"₹1,06,000",VA Panel,48.26 cm,Full HD,250 nits,,60 Hz
379,ASIATOUCH,"₹13,165",IPS Panel,190.5 cm,4K Ultra HD,,8 ms,60 Hz
380,GIGABYTE,"₹63,399",IPS Panel,68.58 cm,Full HD,,1 ms,165 Hz
381,DELL,"₹18,000",IPS Panel,86.36 cm,WQHD,,5 ms,60 Hz
382,AMS,"₹16,949",IPS Panel,39.62 cm,Full HD,250 nits,10 ms,60 Hz
383,Samsung,,VA Panel,68.58 cm,Full HD,250 nits,4 ms,60 Hz
