,Brand,Price,Panel_Type,Display,Screen_Resolution,Brightness,Response_Time,Refresh_Rate
66,Samsung,"₹13,299",VA Panel,68.4 cm,Full HD,250 nits,1 ms,180 Hz
67,MSI,"₹8,210",IPS Panel,63.5 cm,Full HD,250 nits,1 ms,120 Hz
68,Acer,"₹4,999",TN Panel,49.53 cm,HD,,6 ms,75 Hz
69,MSI,"₹6,999",VA Panel,60.96 cm,Full HD,300 nits,1 ms,100 Hz
70,DELL,"₹10,999",IPS Panel,68.58 cm,Full HD,300 nits,4 ms,75 Hz
71,Enter,"₹2,677",TN Panel,48.26 cm,HD,2502 nits,5 ms,60 Hz
72,Samsung,"₹10,199",VA Panel,60.96 cm,Full HD,250 nits,1 ms,180 Hz
73,BenQ,"₹12,989",IPS Panel,63.5 cm,Full HD,400 nits,1 ms,220 Hz
74,Frontech,"₹2,899",,48.26 cm,HD,250 nits,3 ms,60 Hz
75,Enter,"₹2,677",TN Panel,48.26 cm,HD,250 nits,5 ms,60 Hz
76,Frontech,"₹2,763",VA Panel,50.8 cm,HD,250 nits,3 ms,60 Hz
77,BenQ,"₹10,990",IPS Panel,60.96 cm,Full HD,250 nits,5 ms,100 Hz
78,LG,"₹7,999",IPS Panel,60.96 cm,Full HD,250 nits,5 ms,100 Hz
79,Enter,"₹4,749",IPS Panel,55.88 cm,HD,250 nits,5 ms,75 Hz
80,ZEBRONICS,"₹3,999",VA Panel,55.88 cm,HD,,5 ms,60 Hz
81,HIKVISION,"₹5,149",VA Panel,54.61 cm,Full HD,250 nits,,75 Hz
82,ASUS,"₹25,599",IPS Panel,68.58 cm,Quad HD,400 nits,1 ms,180 Hz
83,ZEBRONICS,"₹6,999",VA Panel,60.96 cm,Full HD,250 nits,14 ms,100 Hz
84,Acer,"₹7,960",IPS Panel,60.45 cm,Full HD,250 nits,1 ms,100 Hz
85,LG,"₹14,699",IPS Panel,73.66 cm,Full HD,250 nits,5 ms,100 Hz
86,Acer,"₹13,999",IPS Panel,80.01 cm,Full HD,300 nits,1 ms,75 Hz
87,Acer,"₹6,299",IPS Panel,60.45 cm,Full HD,250 nits,1 ms,100 Hz
88,Acer,"₹21,599",IPS Panel,68.58 cm,WQHD,400 nits,,300 Hz
89,MarQ,"₹4,999",VA Panel,55.88 cm,Full HD,300 nits,5 ms,75 Hz
90,BenQ,"₹7,298",IPS Panel,55.88 cm,Full HD,250 nits,5 ms,60 Hz
91,Enter,"₹2,625",VA Panel,48.26 cm,HD,,5 ms,60 Hz
92,DELL,"₹12,099",IPS Panel,54.61 cm,Full HD,250 nits,5 ms,100 Hz
93,Frontech,"₹2,699",TN Panel,50.8 cm,HD,,5 ms,60 Hz
94,ZEBRONICS,"₹7,104",VA Panel,54.61 cm,Full HD,250 nits,,75 Hz
95,ZEBRONICS,"₹7,999",IPS Panel,60.96 cm,Full HD,280 nits,1 ms,180 Hz
96,Frontech,"₹2,763",VA Panel,50.8 cm,HD,250 nits,3 ms,60 Hz
97,DELL,"₹12,099",IPS Panel,54.61 cm,Full HD,250 nits,5 ms,100 Hz
98,Frontech,"₹2,699",TN Panel,50.8 cm,HD,,5 ms,60 Hz
99,ZEBRONICS,"₹7,104",VA Panel,54.61 cm,Full HD,250 nits,,75 Hz
100,ZEBRONICS,"₹7,999",IPS Panel,60.96 cm,Full HD,280 nits,1 ms,180 Hz
101,BenQ,"₹12,990",IPS Panel,68.58 cm,Full HD,250 nits,5 ms,100 Hz
102,LG,"₹8,349",IPS Panel,62.23 cm,Full HD,250 nits,5 ms,100 Hz
103,Frontech,"₹8,560",VA Panel,68.58 cm,Full HD,250 nits,1 ms,75 Hz
104,PHILIPS,"₹5,999",VA Panel,55.88 cm,Full HD,250 nits,4 ms,75 Hz
105,Frontech,"₹6,570",VA Panel,60.96 cm,Full HD,250 nits,5 ms,75 Hz
106,Frontech,"₹6,699",VA Panel,60.96 cm,Full HD,250 nits,5 ms,100 Hz
107,Samsung,"₹8,699",IPS Panel,60.96 cm,Full HD,250 nits,5 ms,120 Hz
108,Lenovo,"₹6,499",VA Panel,54.61 cm,Full HD,,4 ms,60 Hz
109,Arzopa,"₹10,790",IPS Panel,35.56 cm,Full HD,300 nits,3 ms,60 Hz
110,Frontech,"₹6,999",IPS Panel,62.23 cm,Full HD,250 nits,8 ms,100 Hz
